2025-12-15 16:56:27.025 INFO  [main] com.flownote.Application - Starting Application using Java 21.0.8 with PID 21611 (/Users/xiaofeng/Documents/github/flow-note/target/classes started by xiaofeng in /Users/xiaofeng/Documents/github/flow-note)
2025-12-15 16:56:27.025 INFO  [main] com.flownote.Application - The following 1 profile is active: "dev"
2025-12-15 16:56:27.364 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-12-15 16:56:27.366 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-12-15 16:56:27.377 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 3 ms. Found 0 Redis repository interfaces.
2025-12-15 16:56:27.633 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-12-15 16:56:27.643 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-127.0.0.1-8080"]
2025-12-15 16:56:27.644 INFO  [main] o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-12-15 16:56:27.644 INFO  [main] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.49]
2025-12-15 16:56:27.666 INFO  [main] o.a.c.c.C.[.[localhost].[/api] - Initializing Spring embedded WebApplicationContext
2025-12-15 16:56:27.666 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 621 ms
2025-12-15 16:56:28.246 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-127.0.0.1-8080"]
2025-12-15 16:56:28.255 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/api'
2025-12-15 16:56:28.262 INFO  [main] com.flownote.Application - Started Application in 1.495 seconds (process running for 1.799)
2025-12-15 16:56:37.129 INFO  [http-nio-127.0.0.1-8080-exec-1] o.a.c.c.C.[.[localhost].[/api] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-12-15 16:56:37.131 INFO  [http-nio-127.0.0.1-8080-exec-1] o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-12-15 16:56:37.134 INFO  [http-nio-127.0.0.1-8080-exec-1] o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2025-12-15 16:56:37.176 INFO  [http-nio-127.0.0.1-8080-exec-1] c.flownote.controller.pingController - ping request: Mon Dec 15 16:56:37 CST 2025
